H1,DB,DB,H2,H2
H1,H2,DB,H2,DS
DB,H1,H1,L4,DS
H1,DS,H1,DS,DB
DB,DS,H1,H4,H2
H3,L3,DB,DB,DS
DS,DS,DB,H2,DB
DS,DB,H4,H1,DB
DS,DB,H3,H2,H1
L2,H3,H1,H2,DB
DS,L1,DB,DS,DB
DS,H4,DS,DB,DS
DB,H2,DB,L3,DB
DS,DB,DB,H3,H1
DB,DS,DS,H1,H1
DS,DB,H3,DS,H1
DS,DB,H4,H1,H2
L2,L1,DB,H2,H3
H1,DB,H1,DB,DS
DS,DS,DB,H4,DB
DB,H1,DB,H3,H1
L3,L3,H3,DS,DB
H3,DS,DB,DB,H1
H1,L4,DS,H4,H1
H4,H2,DS,H1,DS
H3,DB,DB,DS,DB
DB,DS,DB,DB,H3
DB,DS,DS,DB,DB
DS,DB,H3,DB,H1
DS,H1,DS,DB,H1
DB,DS,H1,H2,DB
H3,DS,L4,DS,H4
L2,H4,H1,H2,L3
DS,DS,DS,H4,DS
DB,DS,H2,H4,DB
DB,H2,H1,H1,DB
H2,DB,DB,H3,DB
DB,DB,H3,DB,DS
L3,DB,DS,H2,H3
H4,H2,H1,DS,DS
DS,DS,H1,DB,DB
H3,DB,DB,L2,DS
DS,H1,H2,DB,DS
H1,DB,DB,DB,L1
DS,H1,H4,L2,DB
DB,DS,DB,DB,DB
DS,H2,DB,H3,H1
DB,DS,H1,H1,DB
H1,DS,DB,DS,DB
H2,H1,DS,DB,DS
DB,H2,H3,DB,DS
DB,DB,DS,DB,DB
DS,DS,H3,DB,H1
H3,H2,H3,DS,H1
H1,DS,H2,L1,DB
H1,DB,DS,H2,DB
H1,DB,H1,DB,DB
H2,H3,DS,DB,H1
DS,DS,H1,H2,H1
H1,DS,DS,DB,DS
H3,H3,L3,L3,H3
DS,L4,H4,DS,DS
DB,DS,H4,H4,H4
H1,DS,H3,H4,DB
L1,H1,DB,DS,DB
H3,DB,H1,DB,L3
DB,DB,H4,H2,DS
DB,DB,H2,H1,H1
DS,DS,H2,H1,H1
DB,H1,H3,H4,L1
DB,DB,DB,DB,DB
DB,L4,H1,DB,DB
DB,H1,DB,H1,L2
DB,DS,DS,H1,DB
DB,DS,DS,H3,H2
DB,DS,DB,H1,DB
H2,DB,L2,DB,L4
L1,DB,DB,H4,DB
L2,L1,DS,L2,H1
DB,DB,H4,DS,H4
DS,H1,H2,DS,H4
H2,DB,DB,DB,DB
DS,DB,DS,H1,H2
H1,H2,H1,L2,DS
H1,H2,DS,H2,L1
H2,DB,H1,H4,DB
L2,DB,DB,DS,DS
H4,DB,DS,DS,DS
H1,L2,DS,DS,H1
H1,L2,DS,DB,DS
H1,L3,H4,H1,DB
H4,H2,L3,H3,DS
DS,H3,DB,DS,H2
DB,L1,H1,H2,DS
H2,L3,H3,DB,DS
DB,H3,DS,DB,H2
DB,DS,H1,H1,H4
DS,DB,DS,DS,DB
H1,DB,H3,DB,L2
H2,L3,L3,DS,DS
DB,L1,H1,DB,DB
DB,DS,DB,H3,DB
L2,L2,L3,H3,H1
DS,DS,DB,H1,H3
DB,DB,DS,DB,H3
H1,DB,DB,H2,DB
H3,DS,DS,DS,DB
H1,DB,H2,H1,DS
DS,H3,H4,DB,H4
H2,H1,H2,H1,DB
DS,DB,DB,L4,L4
DB,DB,DB,H1,H1
H4,DS,DB,DS,L1
H2,H2,H1,DS,DS
H1,DB,H1,H1,DB
DB,DB,L3,DB,L2
L3,H2,L2,DS,DS
H2,H4,H1,DB,DB
H3,H4,DB,L2,DS
DB,H3,DB,DB,DB
H1,DS,L4,H1,DS
DB,H2,DB,H1,H3
DS,DB,DB,DB,H2
DB,H2,H2,DB,DB
DS,DS,H4,DS,DS
DS,DS,DS,DS,H3
H3,H1,L4,DB,H1
DB,DB,DS,DS,H3
DB,DB,H2,L2,DS
DS,DB,DS,DS,DS
DS,DS,DS,L1,H2
DS,H3,DB,DB,DS
DS,DB,H2,L3,H3
DS,DS,DS,DS,H3
DB,H2,DS,DB,H2
DB,DB,H1,H3,DB
DB,H2,DS,H1,H4
DB,DB,DS,L2,DB
DB,H1,DB,H1,H1
DB,L2,DB,DS,H3
DB,DS,DB,DB,DB
DS,H3,H1,DB,H3
H1,DB,L2,H2,L1
DB,DS,DB,H2,DS
DB,DB,DB,DS,H1
H2,DB,H3,DS,H4
L1,H1,H1,DB,DB
DS,H2,DS,DS,L2
H1,H3,H3,DB,DS
H3,DS,DB,H3,H1
DS,DB,DS,DB,DS
DS,DS,DB,H3,H4
DB,H3,H3,H2,DB
DB,H2,H1,DS,H3
L4,L4,DS,DB,H2
DS,DS,H1,DS,DB
DS,H2,H4,DS,H4
DB,H2,H1,H4,H2
DS,H1,H1,H1,DS
DB,DB,DB,H2,H1
DB,H4,DS,H2,DS
DB,L3,DS,H2,DB
DS,DS,DS,H3,DS
H2,L1,DS,H2,DS
H1,DB,H3,DS,H3
H1,DS,H4,H2,H2
DB,DB,H1,DB,DB
H1,DS,DS,DS,H3
DB,H3,H3,DS,H3
DS,H1,H2,H2,DB
DS,DS,L1,DS,DS
DB,H1,DB,H1,DS
DS,H3,DS,L4,H3
DB,DS,H4,H3,DS
DB,DS,DB,H2,DB
H3,DB,DS,DB,DB
H4,DS,DB,DS,DS
H3,DS,H3,DS,H1
H2,DS,DB,DB,DS
DB,H4,H2,H4,H1
DB,DB,DB,H4,DB
DS,H2,H1,H1,H3
H1,DB,DB,DB,H1
DS,DB,DS,DB,DS
H1,H1,H1,H2,DB
L1,H1,H1,DS,H2
H3,H1,DS,H2,DS
DB,DB,DB,L2,DB
H4,H1,DS,DB,DB
DB,DS,H2,H1,DS
H3,DS,DS,DB,H1
DB,DB,H3,DB,H4
L2,L3,H4,DS,DB
H3,DB,DB,L3,DS
H3,DB,DS,DS,DS
DS,DS,DB,H1,H2
DB,H1,DB,H4,H4
H2,H4,DS,DS,L2
DS,DS,DB,H2,DB
DS,DB,DB,H3,H4
DS,DS,H1,H3,L2
H1,H2,DB,DS,DS
H3,DS,DB,DS,DB
DS,DS,H1,H2,DB
H1,H1,L1,DS,DS
DS,DB,DS,DS,DS
L4,DS,DS,H3,H2
H1,DB,H1,DS,L1
DB,DB,H3,DB,H2
DB,H2,H1,DS,DS
H2,L4,H1,DB,H2
H3,DB,DS,DS,H4
DS,H2,DB,H3,H4
DB,H1,H2,DS,DS
H4,DB,DS,H1,L1
DB,H1,L1,DS,DB
DB,DS,DS,DB,H2
DS,DB,H2,DS,DB
DS,H1,DS,DS,H4
DS,H3,DB,DB,H1
DB,DS,DB,DB,H2
DS,H3,H1,DS,H3
DS,DB,H1,DB,H4
L1,H1,L2,DS,DS
H1,DS,DB,H1,H1
DS,DB,DB,DS,DB
H2,DS,DB,DS,H1
DB,H2,H2,DB,DB
DB,DB,H3,H4,L2
H2,DB,H4,H1,DB
L3,H1,H3,H3,DS
DB,DB,DB,DS,DS
DS,L3,L4,H3,DB
H4,H1,H1,H2,DS
H3,H1,H1,H2,DS
H1,DB,H2,L4,DS
DB,DS,H3,H2,DB
DB,DS,DB,H2,H2
H1,DB,H1,L1,DS
H1,H2,H1,H2,DS
H2,L2,H2,DB,DS
DB,L4,DB,DB,L3
H2,H2,H2,DS,H4
DB,DS,DS,L3,DS
H4,DB,DB,H1,DS
H1,DB,DS,DS,H3
H2,DB,DS,H1,H1
DB,H3,H2,DS,DB
DB,H1,H1,DS,H2
H3,H4,H2,DS,DB
